FORMULA,Co,Cr,Fe,Ni,Mn,Nb,Ti,Al,C,Mo,Si,Cu,V,Sn,Li,Mg,Zn,Ta,Zr,Hf,W,Re,Ca,Y,Pd,Sc,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Calculated Young modulus (GPa)
Co1 Cr1 Fe1 Ni1,26.13819317,23.06146798,24.76859141,26.03174744,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.2,T,25,274,708,39,226
Co1 Cr1 Mn1 Ni1,26.24376559,23.15461347,,26.13688992,24.46473103,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.1,T,25,282,694,44,222
Co1 Cr1 Ni1,34.74372428,30.65404252,,34.6022332,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.3,T,25,300,860,60,231
Co1 Fe1 Mn1 Ni1,25.80152271,,24.44956197,25.69644804,24.05246728,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.2,T,25,170,550,41,204
Co1 Fe1 Ni1,33.97282543,,32.1927008,33.83447377,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.5,T,25,211,513,31,207
Co1 Mn1 Ni1,34.15138731,,,34.01230848,31.83630421,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.4,T,25,231,653,38,202
Fe1 Mn1 Ni1,,,32.95156836,34.6320423,32.41638934,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.1,T,25,221,602,36,203
Co1 Cr1 Fe1 Nb0.103 Ni1,25.07399729,22.12253853,23.76015778,24.97188541,,4.071420996,,,,,,,,,,,,,,,,,,,,,FCC+Sec.,CAST,other,8.2,T,25,318,622,19,
Co1 Cr1 Fe1 Nb0.155 Ni1,24.56898796,21.67697382,23.28161018,24.46893269,,6.003495347,,,,,,,,,,,,,,,,,,,,,FCC+Sec.,CAST,other,8.2,T,25,322,744,23,
Co1 Cr1 Fe1 Nb0.206 Ni1,24.0930671,21.25707357,22.83062685,23.99494998,,7.824282512,,,,,,,,,,,,,,,,,,,,,FCC+Sec.,CAST,other,8.2,T,25,403,807,9,
Co1 Cr1 Fe1 Nb0.309 Ni1,23.1859981,20.45677561,21.97108689,23.09157495,,11.29456445,,,,,,,,,,,,,,,,,,,,,FCC+Sec.,CAST,other,8.2,T,25,479,879,4,
